Question,Answer
How long does loan approval take?,"Our AI-powered 5Cs analysis processes your application in under 30 seconds. If your score qualifies for auto-approval, you'll receive instant confirmation. Some applications may be routed to manual review by our loan officers, which typically takes 1-2 business days."
Does AI Bank offer home financing?,"Yes, AI Bank offers home financing up to BHD 250,000 with rates starting from 2.9% APR. We support up to 85% financing with repayment terms up to 25 years. Free property valuation is included."
Does AI Bank offer auto financing?,"Yes, AI Bank offers auto financing up to BHD 50,000 for both new and used vehicles. Rates start from 3.2% APR with zero down payment options and repayment terms up to 7 years. Comprehensive insurance is included."
What debit cards does AI Bank offer?,"AI Bank offers a premium contactless debit card with every AI Premium account. Features include worldwide acceptance, contactless payments via phone and watch, real-time transaction notifications, and zero foreign transaction fees."
Does AI Bank offer credit cards?,"AI Bank offers premium credit cards with cashback rewards, travel benefits, and airport lounge access. Contact our team or ask Alma for the latest credit card offerings in your country."
How do I make transfers with AI Bank?,"AI Bank supports instant internal transfers between AI Bank accounts, local transfers via the national payment system (e.g., Fawri+ in Bahrain), and international transfers in major currencies. All transfers can be initiated through our mobile app, online banking, or by asking Alma."
Are there fees for transfers?,"Internal transfers between AI Bank accounts are always free. Local transfers are free for AI Premium account holders. International transfer fees vary by destination and amount — typically BHD 2-5 per transaction."
What is AI Bank's mobile banking app?,"AI Bank's mobile app provides full-featured banking on the go: check balances, make transfers, pay bills, manage cards, apply for loans, chat with Alma, and receive real-time notifications. Available on iOS and Android with biometric authentication."
What is AI Bank's online banking platform?,"AI Bank's online banking platform at aibank.demoaws.com provides secure access to all banking services including account management, transfers, loan applications, and AI-powered financial insights."
How does AI Bank protect my data?,"AI Bank uses bank-grade security including end-to-end encryption, biometric authentication, and fraud detection. All customer data is stored in Bahrain (me-south-1 region) to comply with GCC data residency requirements. We use AWS infrastructure with multiple layers of security."
What is two-factor authentication at AI Bank?,"AI Bank uses multi-factor authentication for all sensitive operations. This includes biometric verification (fingerprint or face), email OTP verification, and session-based security with automatic timeout after 15 minutes of inactivity."
What are AI Bank's customer service hours?,"AI Bank's AI assistant Alma is available 24/7 for instant support. Our human customer service team is available Sunday through Thursday, 8:00 AM to 4:00 PM local time. For urgent matters, our priority line is available 24/7."
How can I contact AI Bank customer service?,"You can reach AI Bank through multiple channels: Chat with Alma 24/7 on our website or app, call us at +973 1700 0000 (Bahrain), email support@aibank.demo, or visit any of our branches during business hours."
What is AI Bank's contact number in Bahrain?,You can reach AI Bank Bahrain at +973 1700 0000. Our customer service is available Sunday through Thursday from 8:00 AM to 4:00 PM AST. Alma is available 24/7 for instant assistance.
What is AI Bank's contact number in Saudi Arabia?,You can reach AI Bank Saudi Arabia at +966 11 000 0000. Our customer service is available Sunday through Thursday from 8:00 AM to 4:00 PM AST.
What is AI Bank's contact number in UAE?,You can reach AI Bank UAE at +971 4 000 0000. Our customer service is available Sunday through Thursday from 8:00 AM to 4:00 PM GST.
What is AI Bank's contact number in Egypt?,You can reach AI Bank Egypt at +20 2 0000 0000. Our customer service is available Sunday through Thursday from 9:00 AM to 5:00 PM EET.
What is AI Bank's contact number in Kuwait?,You can reach AI Bank Kuwait at +965 2000 0000. Our customer service is available Sunday through Thursday from 8:00 AM to 4:00 PM AST.
Where is AI Bank's headquarters?,"AI Bank's headquarters is located in the Diplomatic Area, Manama, Kingdom of Bahrain."
What is AI Bank's email address?,You can contact AI Bank via email at support@aibank.demo for general inquiries or premium@aibank.demo for premium banking services.
What is AI Bank's website?,You can visit AI Bank's website at https://aibank.demoaws.com for online banking and information about our products and services.
Does AI Bank offer Islamic banking?,"Yes, AI Bank offers Sharia-compliant banking products and services including Islamic savings accounts, Murabaha financing, and Sukuk investments. Ask Alma for details about our Islamic banking offerings."
What savings rates does AI Bank offer?,"AI Bank's AI Savings account offers a competitive 3.5% APY with no minimum balance requirement. Rates may vary by country and are subject to change. Special promotional rates may be available — ask Alma for the latest rates."
Does AI Bank offer fixed deposits?,"Yes, AI Bank offers fixed deposits with competitive rates across multiple tenors (1 month to 5 years) and currencies. Minimum deposit is BHD 1,000 or equivalent. Contact us or ask Alma for current fixed deposit rates."
What is AI Bank's Next Best Action feature?,"Next Best Action (NBA) is AI Bank's intelligent recommendation engine. It analyzes your financial profile, spending patterns, and life events to suggest personalized products and actions — like the best savings plan for your goals, or a loan offer tailored to your needs. You'll see NBA recommendations on your dashboard under 'For You'."
What is Customer 360?,"Customer 360 is AI Bank's unified customer view that brings together all your banking information in one place — accounts, transactions, products, financial health score, and AI-generated insights. It helps our relationship managers provide you with the best possible service."
Does AI Bank have an ATM network?,"AI Bank partners with major ATM networks across the GCC. AI Premium account holders enjoy zero ATM withdrawal fees at all partner ATMs. You can find the nearest ATM using our mobile app or by asking Alma."
Can I use AI Bank abroad?,"Yes, AI Bank cards are accepted worldwide wherever Visa/Mastercard is accepted. We offer competitive foreign exchange rates and zero foreign transaction fees for AI Premium account holders."
How do I report a lost or stolen card?,"If your card is lost or stolen, immediately freeze it through the AI Bank mobile app or online banking. You can also call our 24/7 priority line at +973 1700 0001 or tell Alma to freeze your card. A replacement card will be issued within 2 business days."
Does AI Bank offer business banking?,"Yes, AI Bank offers comprehensive business banking solutions including business accounts, trade finance, cash management, and business loans. Our AI Business account includes multi-user access, expense management tools, and dedicated relationship manager support."
What trade finance services does AI Bank offer?,"AI Bank offers a full suite of trade finance services including Letters of Credit (LCs), bank guarantees, standby LCs, and trade exposure analysis. Our Trade Finance AI assistant helps relationship managers analyze trade documents and exposure using natural language queries."
Does AI Bank offer investment products?,"AI Bank offers a range of investment products including mutual funds, portfolio management services, fixed income products, and structured deposits. Our AI-powered investment advisory helps you build a portfolio aligned with your financial goals."
What is AI Bank's Data Analytics feature?,"AI Bank's Data Analytics AI allows authorized employees to query banking data using natural language. Simply ask a question in English — like 'What are the top 10 customers by deposits?' — and our AI generates the SQL query and returns the results instantly."
What is the ATM Profitability Optimizer?,"The ATM Profitability Optimizer is an AI-powered tool used by AI Bank's operations team to analyze ATM network performance, cash utilization, and optimize ATM placement and operations across our branch network."
How do I switch my country in AI Bank?,"AI Bank supports seamless country switching. If you're an existing customer moving to another GCC country, contact our team or ask Alma to help you switch your banking country. Your account history and preferences will be preserved."
Does AI Bank charge for international transfers?,"International transfer fees vary by destination and amount. AI Premium account holders receive 3 free international transfers per month. Standard fees range from BHD 2-5 per transaction. Ask Alma for exact fees for your specific transfer."
What is AI Bank's KYC process?,"AI Bank uses AI-powered KYC (Know Your Customer) verification. When you open an account, our system uses Amazon Textract and BDA to automatically extract and verify information from your ID documents. The process is fast, secure, and mostly automated."
Can I open a joint account at AI Bank?,"Yes, AI Bank supports joint accounts for both personal and business banking. Both account holders will have full access to the account through our digital platforms. Contact our team or visit a branch to set up a joint account."
Does AI Bank offer salary transfer accounts?,"Yes, AI Bank offers special benefits for salary transfer customers including higher loan limits, preferential interest rates, and exclusive offers. Ask your employer about setting up salary transfer to AI Bank."
What happens if I forget my password?,"You can reset your password through the AI Bank app or website using your registered email address. For additional security, you'll need to verify your identity through email OTP. If you need further help, contact our customer service or ask Alma."
Does AI Bank have a referral program?,"Yes, AI Bank rewards you for referring friends and family. Both you and your referral receive a bonus when they open an account and complete their first transaction. Ask Alma for current referral program details and rewards."
